"Date","Overall","Deaths","Recovered","Active","Increment","MA7active","MA3active","Cienmil","Catorce","Siete"
2020-10-06,2630,38,2122,469,NA,NA,NA,NA,NA,NA
2020-10-07,2769,39,2261,468,139,NA,NA,19.594023118128,NA,NA
2020-10-08,2935,41,2447,446,166,NA,461,23.400056385678,NA,NA
2020-10-09,3136,41,2475,619,201,NA,511,28.3338032139836,NA,NA
2020-10-11,3532,41,2537,953,396,NA,672.67,55.8218212574006,NA,NA
2020-10-12,3800,41,2537,1221,268,NA,931,37.7784042853115,NA,NA
2020-10-13,4187,41,2751,1394,387,795.71,1189.33,54.5531435015506,NA,NA
2020-10-14,4682,44,2926,1711,495,973.14,1442,69.7772765717508,NA,289.258528333803
2020-10-15,5222,45,3011,2165,540,1215.57,1756.67,76.1206653510008,NA,345.785170566676
2020-10-16,5484,46,3438,1999,262,1437.43,1958.33,36.9326191147449,NA,359.317733295743
2020-10-17,5967,46,3754,2166,483,1658.43,2110,68.0857062306174,NA,399.069636312377
2020-10-18,6291,46,3765,2479,324,1876.43,2214.67,45.6723992106005,NA,388.920214265577
2020-10-19,6780,50,4002,2727,489,2091.57,2457.33,68.9314914011841,NA,420.073301381449
2020-10-20,7310,57,4317,2935,530,2311.71,2713.67,74.7110234000564,NA,440.231181279955
2020-10-21,7829,62,4611,3154,519,2517.86,2938.67,73.1604172540175,732.872850296025,443.614321962222
2020-10-22,8234,68,4737,3427,405,2698.14,3172,57.0904990132506,770.369326191147,424.584155624471
2020-10-23,8842,72,5214,3554,608,2920.29,3378.33,85.7062306174232,832.675500422893,473.35776712715
2020-10-26,9804,81,5903,3818,962,3156.29,3599.67,135.607555680857,939.949252889766,540.879616577389
2020-10-27,10365,82,6299,3982,561,3371,3784.67,79.0809134479842,963.20834508035,574.288130814773
2020-10-28,10979,90,6770,4117,614,3569.57,3972.33,86.5520157879899,1011.98195658303,591.908655201579
2020-10-29,11496,106,6975,4413,517,3780.71,4170.67,72.8784888638286,1030.30730194531,590.076120665351
2020-10-30,12012,123,7453,4433,516,3963.43,4321,72.7375246687341,1033.26755004229,589.653228080068
