"Date","id","County","Overall","Incidence_vs_Active","Deaths","Recovered","Active","Quarantine_inbound","Quarantine_contact","Contracted.health.services","Acvtive_DPS","Acvtive_ZOL","Work","Academy","School","Dormitories","Weddings","Hotels","Public_Transport","Others"
2020-10-06,1,"Bochenski",518,"48,48",30,421,59,3,134,20,240,0,12,23,0,0,31,0,0,55
2020-10-06,2,"Brzeski",189,"20,28",2,156,29,3,35,58,12,2,2,0,0,0,0,21,0,56
2020-10-06,3,"Chrzanowski",202,"16,22",4,100,98,1,40,16,23,2,16,0,0,0,8,0,0,96
2020-10-06,4,"Dabrowski",74,"12,51",1,53,20,2,41,4,0,0,0,0,0,0,0,0,0,27
2020-10-06,5,"Gorlicki",191,"17,54",2,151,38,2,90,9,0,0,0,9,0,0,13,0,0,68
2020-10-06,6,"Krakowski",699,"25,03",6,581,112,6,177,45,14,0,11,4,0,0,2,4,0,436
2020-10-06,7,"Limanowski",878,"66,63/14,12",10,681,186,0,367,29,34,0,0,10,0,0,0,0,1,437
2020-10-06,8,"Miechowski",124,"25,40",1,78,45,0,37,0,0,0,3,0,0,0,0,0,0,84
2020-10-06,9,"Myslenicki",774,"60,66/23,04",2,478,294,0,235,28,24,0,76,15,0,0,2,0,0,394
2020-10-06,10,"Nowosadecki",1534,"70,76",28,1331,175,7,961,83,64,1,299,25,0,0,20,0,0,74
2020-10-06,11,"Nowotarski",1114,"58,09/21,33",21,681,409,2,392,83,25,0,34,7,0,0,0,0,1,570
2020-10-06,12,"Olkuski",209,"18,79",1,131,77,4,15,8,1,0,50,13,0,0,2,0,0,116
2020-10-06,13,"Oswiecimski",535,"34,86",8,406,121,2,220,42,2,0,0,0,0,0,0,0,0,269
2020-10-06,14,"Proszowicki",78,"18,05",3,58,17,2,8,9,27,0,0,0,0,0,0,0,0,32
2020-10-06,15,"Suski",437,"51,88",6,357,74,2,162,5,15,0,62,7,0,0,19,0,0,165
2020-10-06,16,"Tarnowski",360,"17,87",9,283,67,6,166,13,56,0,0,0,0,0,0,0,0,119
2020-10-06,17,"Tatrzanski",534,"78,45/26,74",8,342,182,2,181,45,39,0,39,29,0,0,0,0,0,199
2020-10-06,18,"Wadowicki",527,"32,94/11,81",9,329,189,0,206,42,53,0,16,11,0,0,0,0,0,199
2020-10-06,19,"Wielicki",415,"32,14",7,306,100,1,246,9,0,0,2,0,0,0,0,0,0,157
2020-10-06,20,"M.kraków",2630,"33,76",38,2122,469,33,519,210,3,16,51,13,0,32,34,32,0,1687
2020-10-06,21,"M.nowysacz",595,"71,01",17,503,75,3,326,33,106,0,114,4,0,0,7,0,0,2
2020-10-06,22,"M.tarnów",126,"11,62",1,85,40,8,27,8,0,0,0,0,0,0,0,0,83,0
2020-10-07,1,"Bochenski",528,"49,41",30,423,67,3,135,23,240,0,12,23,0,0,31,0,0,61
2020-10-07,2,"Brzeski",203,"21,78",2,156,43,3,37,63,12,2,2,0,0,0,0,21,0,63
2020-10-07,3,"Chrzanowski",213,"17,10",4,102,107,1,40,20,23,2,16,0,0,0,8,0,0,103
2020-10-07,4,"Dabrowski",76,"12,84",1,55,20,2,41,4,0,0,0,0,0,0,0,0,0,29
2020-10-07,5,"Gorlicki",195,"17,91",2,155,38,2,92,9,0,0,0,10,0,0,13,0,0,69
2020-10-07,6,"Krakowski",718,"25,71",6,612,100,6,177,45,14,0,12,4,0,0,2,4,0,454
2020-10-07,7,"Limanowski",887,"67,32/13,51",10,698,178,0,367,29,34,0,0,10,0,0,0,0,1,446
