"fecha","id","distrito","ogolem","activos_10mil","fallecidos","curados","activos","cuarentena_ext","cuarentena_contacto","enfermo_tras_hospital","enfermo_dps","enfermo_zol","trabajo","escuelas","colegios","dormitorios","bodas","hosteleria","transporte","otros"
2020-10-23,"1","bochenski","901","84,32 / 35,65","34","478","381","3","161","49","240","0","13","26","0","0","31","0","0","378"
2020-10-23,"2","brzeski","441","47,32 / 21,46","5","234","200","3","38","88","14","2","2","0","0","0","0","21","0","273"
2020-10-23,"3","chrzanowski","580","46,57 / 31,56","11","176","393","1","40","26","25","2","16","4","0","0","8","0","0","458"
2020-10-23,"4","dabrowski","220","37,18 / 21,46","6","87","127","2","56","24","4","0","6","0","0","0","0","0","0","128"
2020-10-23,"5","gorlicki","524","48,12 / 29,57","3","192","322","2","119","97","0","0","6","17","0","0","20","0","0","263"
2020-10-23,"6","krakowski","2 095","75,03 / 29,80","19","1244","832","6","170","46","15","0","13","4","0","0","2","4","0","1 835"
2020-10-23,"7","limanowski","1 583","120,14 / 49,10","17","918","647","0","434","78","41","0","4","12","0","0","0","0","1","1 013"
2020-10-23,"8","miechowski","534","109,39 / 86,24","6","107","421","0","68","0","184","0","23","0","0","0","0","0","0","259"
2020-10-23,"9","myslenicki","1 657","129,86 / 49,22","6","1023","628","0","283","87","50","0","92","22","1","0","4","0","0","1 118"
2020-10-23,"10","nowosadecki","2 180","100,56 / 31,83","57","1433","690","7","1 428","115","65","2","374","74","0","0","20","1","0","94"
2020-10-23,"11","nowotarski","2 005","104,55 / 50,00","29","998","959","2","438","148","62","46","117","15","0","0","0","0","1","1 176"
2020-10-23,"12","olkuski","657","59,07 / 29,49","12","317","328","4","16","58","4","1","71","19","0","0","2","0","0","482"
2020-10-23,"13","oswiecimski","1 009","65,74 / 32,90","22","482","505","2","236","63","27","59","0","0","0","0","0","0","0","622"
2020-10-23,"14","proszowicki","220","50,90 / 27,30","4","98","118","2","8","12","33","0","5","0","0","0","0","0","0","160"
2020-10-23,"15","suski","1 169","138,78 / 60,31","14","646","508","2","253","45","71","53","108","35","0","0","19","0","0","583"
2020-10-23,"16","tarnowski","790","39,21 / 18,36","12","407","370","6","330","23","70","0","46","0","0","0","0","0","0","315"
2020-10-23,"17","tatrzanski","943","138,53 / 54,65","25","542","372","2","189","137","42","0","51","90","0","0","0","0","0","432"
2020-10-23,"18","wadowicki","1 191","74,43 / 42,81","15","490","685","0","230","85","57","0","26","41","0","0","0","0","0","752"
2020-10-23,"19","wielicki","904","70,00 / 40,96","10","363","529","1","260","11","0","0","7","2","0","0","5","0","0","618"
2020-10-23,"20","m. Kraków","8 842","113,49 / 45,62","72","5214","3 554","33","469","232","128","17","60","13","0","36","34","32","0","7 788"
2020-10-23,"21","m. Nowy Sacz","912","108,84 / 37,23","30","570","312","3","558","56","108","0","148","18","2","0","7","1","0","11"
2020-10-23,"22","m. Tarnów","539","49,69 / 32,36","14","174","351","8","187","21","6","0","40","0","0","0","0","0","0","277"
